CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
ADGRA2-1,EM_vs_CM,0.17251063497251107,-0.1268463994015997,-0.29935703437411076,0.0,0.0,1.0,1.0,,,
ADGRA2-1,Naive_vs_CM,0.5328388582554306,,-0.29935703437411076,0.0,0.0,1.0,1.0,0.23348182388131988,,
ADGRA2-1,Naive_vs_EM,0.3603282232829196,-0.1268463994015997,,0.0,0.0,1.0,1.0,0.23348182388131988,,
ADGRA2-1,PD1Low_vs_PD1High,-0.11060990441468828,,,0.0,0.0,1.0,1.0,,-0.11954548883880767,-0.008935584424119384
ADGRE3-1,EM_vs_CM,0.17721844567936684,0.06307969888834575,-0.1141387467910211,0.0,0.0,1.0,1.0,,,
ADGRE3-1,Naive_vs_CM,0.04005438133580641,,-0.1141387467910211,0.0,0.0,1.0,1.0,-0.07408436545521468,,
ADGRE3-1,Naive_vs_EM,-0.13716406434356043,0.06307969888834575,,0.0,0.0,1.0,1.0,-0.07408436545521468,,
ADGRE3-1,PD1Low_vs_PD1High,0.05695016972772001,,,0.0,0.0,1.0,1.0,,-0.013239386255436672,-0.07018955598315668
ADGRE4P-1,EM_vs_CM,0.09481936996020929,0.08744552622168772,-0.007373843738521568,0.0,0.0,1.0,1.0,,,
ADGRE4P-1,Naive_vs_CM,-0.1494218273686767,,-0.007373843738521568,0.0,0.0,1.0,1.0,-0.15679567110719828,,
ADGRE4P-1,Naive_vs_EM,-0.244241197328886,0.08744552622168772,,0.0,0.0,1.0,1.0,-0.15679567110719828,,
ADGRE4P-1,PD1Low_vs_PD1High,0.4930920910315866,,,0.0,0.0,1.0,1.0,,0.2209713826411159,-0.27212070839047064
ADGRL2-1,EM_vs_CM,-0.217146477069798,0.07475354798130612,0.29190002505110413,0.0,0.0,1.0,1.0,,,
ADGRL2-1,Naive_vs_CM,-0.9001773873259853,,0.29190002505110413,0.0,0.0,1.0,1.0,-0.6082773622748812,,
ADGRL2-1,Naive_vs_EM,-0.6830309102561873,0.07475354798130612,,0.0,0.0,1.0,1.0,-0.6082773622748812,,
ADGRL2-1,PD1Low_vs_PD1High,0.45624393047984957,,,0.0,0.0,1.0,1.0,,0.14758070215910116,-0.30866322832074844
AVPR2-1,EM_vs_CM,0.057507181067436686,-0.0345614183524271,-0.09206859941986378,0.0,0.0,1.0,1.0,,,
AVPR2-1,Naive_vs_CM,0.19260120606566633,,-0.09206859941986378,0.0,0.0,1.0,1.0,0.10053260664580255,,
AVPR2-1,Naive_vs_EM,0.13509402499822964,-0.0345614183524271,,0.0,0.0,1.0,1.0,0.10053260664580255,,
AVPR2-1,PD1Low_vs_PD1High,-0.20677199394428603,,,0.0,0.0,1.0,1.0,,-0.1120851340143058,0.09468685992998023
CASR-1,EM_vs_CM,0.04902644692033409,0.0031644144590293743,-0.045862032461304714,1.6484296503616595e-277,2.0116429631532117e-277,1.0,1.0,,,
CASR-1,Naive_vs_CM,0.0658169513666026,,-0.045862032461304714,1.6484296503616595e-277,2.0116429631532117e-277,1.0,1.0,0.01995491890529788,,
CASR-1,Naive_vs_EM,0.016790504446268506,0.0031644144590293743,,1.6484296503616595e-277,2.0116429631532117e-277,1.0,1.0,0.01995491890529788,,
CASR-1,PD1Low_vs_PD1High,0.26185736816700567,,,1.6484296503616595e-277,2.0116429631532117e-277,1.0,1.0,,0.12334778438451033,-0.1385095837824953
CELSR1-1,EM_vs_CM,-0.4193120587261413,-0.04519335821410053,0.37411870051204077,0.0,0.0,1.0,1.0,,,
CELSR1-1,Naive_vs_CM,-0.8668901049695764,,0.37411870051204077,0.0,0.0,1.0,1.0,-0.49277140445753564,,
CELSR1-1,Naive_vs_EM,-0.4475780462434351,-0.04519335821410053,,0.0,0.0,1.0,1.0,-0.49277140445753564,,
CELSR1-1,PD1Low_vs_PD1High,0.6025013645056343,,,0.0,0.0,1.0,1.0,,0.24663532819961867,-0.3558660363060156
CXCR4-1,EM_vs_CM,0.047975529879343504,-0.16147158299511788,-0.20944711287446138,0.0,0.0,1.0,1.0,,,
CXCR4-1,Naive_vs_CM,0.432712946745913,,-0.20944711287446138,0.0,0.0,1.0,1.0,0.2232658338714516,,
CXCR4-1,Naive_vs_EM,0.3847374168665695,-0.16147158299511788,,0.0,0.0,1.0,1.0,0.2232658338714516,,
CXCR4-1,PD1Low_vs_PD1High,-0.11731938048154511,,,0.0,0.0,1.0,1.0,,-0.10787731090681511,0.009442069574730002
EDNRA-1,EM_vs_CM,0.12568001002578033,-0.0517485873483825,-0.17742859737416283,0.0,0.0,1.0,1.0,,,
EDNRA-1,Naive_vs_CM,0.2699919665595395,,-0.17742859737416283,0.0,0.0,1.0,1.0,0.09256336918537666,,
EDNRA-1,Naive_vs_EM,0.14431195653375917,-0.0517485873483825,,0.0,0.0,1.0,1.0,0.09256336918537666,,
EDNRA-1,PD1Low_vs_PD1High,-0.01900379077191198,,,0.0,0.0,1.0,1.0,,-0.05503983389834555,-0.03603604312643357
GABBR2-1,EM_vs_CM,0.34979960616905453,0.10990838194503455,-0.23989122422401998,3.6891480571343034e-292,4.579632070925343e-292,1.0,1.0,,,
GABBR2-1,Naive_vs_CM,0.2585926750391814,,-0.23989122422401998,3.6891480571343034e-292,4.579632070925343e-292,1.0,1.0,0.01870145081516139,,
GABBR2-1,Naive_vs_EM,-0.09120693112987316,0.10990838194503455,,3.6891480571343034e-292,4.579632070925343e-292,1.0,1.0,0.01870145081516139,,
GABBR2-1,PD1Low_vs_PD1High,0.13397885137938775,,,3.6891480571343034e-292,4.579632070925343e-292,1.0,1.0,,0.029895628535085872,-0.1040832228443019
GNRHR-1,EM_vs_CM,0.013991467272511882,-0.010490025387136948,-0.02448149265964883,3.0730119372412837e-136,3.2066211519039485e-136,1.0,1.0,,,
GNRHR-1,Naive_vs_CM,0.01010794818241012,,-0.02448149265964883,3.0730119372412837e-136,3.2066211519039485e-136,1.0,0.9999998257875837,-0.014373544477238709,,
GNRHR-1,Naive_vs_EM,-0.0038835190901017613,-0.010490025387136948,,3.0730119372412837e-136,3.2066211519039485e-136,1.0,1.0,-0.014373544477238709,,
GNRHR-1,PD1Low_vs_PD1High,0.15486669507875406,,,3.0730119372412837e-136,3.2066211519039485e-136,1.0,1.0,,0.0609849933647022,-0.09388170171405186
GPR12-1,EM_vs_CM,0.29519090122665104,0.14157075733227087,-0.15362014389438017,7.152997310058116e-175,7.803269792790672e-175,1.0,1.0,,,
GPR12-1,Naive_vs_CM,0.0519959021448686,,-0.15362014389438017,7.152997310058116e-175,7.803269792790672e-175,1.0,1.0,-0.10162424174951157,,
GPR12-1,Naive_vs_EM,-0.24319499908178244,0.14157075733227087,,7.152997310058116e-175,7.803269792790672e-175,1.0,1.0,-0.10162424174951157,,
GPR12-1,PD1Low_vs_PD1High,-0.13044022502102237,,,7.152997310058116e-175,7.803269792790672e-175,1.0,1.0,,-0.10311132194771815,0.02732890307330423
GPR139-1,EM_vs_CM,-0.6006458659397029,-0.19527917797700267,0.40536668796270026,0.0,0.0,1.0,1.0,,,
GPR139-1,Naive_vs_CM,-0.7152541207191079,,0.40536668796270026,0.0,0.0,1.0,1.0,-0.3098874327564076,,
GPR139-1,Naive_vs_EM,-0.11460825477940495,-0.19527917797700267,,0.0,0.0,1.0,1.0,-0.3098874327564076,,
GPR139-1,PD1Low_vs_PD1High,0.1599556871128381,,,0.0,0.0,1.0,1.0,,0.04671120263284904,-0.11324448447998907
GPR142-1,EM_vs_CM,0.2108101124369931,0.06005236440331785,-0.15075774803367525,0.0,0.0,1.0,1.0,,,
GPR142-1,Naive_vs_CM,0.20393977334960767,,-0.15075774803367525,0.0,0.0,1.0,1.0,0.05318202531593241,,
GPR142-1,Naive_vs_EM,-0.006870339087385435,0.06005236440331785,,0.0,0.0,1.0,1.0,0.05318202531593241,,
GPR142-1,PD1Low_vs_PD1High,-0.12681250686023526,,,0.0,0.0,1.0,1.0,,-0.07591403953492597,0.0508984673253093
GPR150-1,EM_vs_CM,-1.3158155539447898,-0.9326852452660587,0.3831303086787311,0.0,0.0,1.0,1.0,,,
GPR150-1,Naive_vs_CM,-1.0090938543641588,,0.3831303086787311,0.0,0.0,1.0,1.0,-0.6259635456854277,,
GPR150-1,Naive_vs_EM,0.306721699580631,-0.9326852452660587,,0.0,0.0,1.0,1.0,-0.6259635456854277,,
GPR150-1,PD1Low_vs_PD1High,1.873989908250698,,,0.0,0.0,1.0,1.0,,0.5451554600344306,-1.3288344482162675
GPR156-1,EM_vs_CM,0.11074525995071194,-0.05338537252083797,-0.1641306324715499,0.0,0.0,1.0,1.0,,,
GPR156-1,Naive_vs_CM,0.32960201086312235,,-0.1641306324715499,0.0,0.0,1.0,1.0,0.16547137839157244,,
GPR156-1,Naive_vs_EM,0.2188567509124104,-0.05338537252083797,,0.0,0.0,1.0,1.0,0.16547137839157244,,
GPR156-1,PD1Low_vs_PD1High,0.24385962955235016,,,0.0,0.0,1.0,1.0,,0.1045816059092366,-0.13927802364311356
GPR179-1,EM_vs_CM,0.24040730055848175,0.03880118343093836,-0.2016061171275434,0.0,0.0,1.0,1.0,,,
GPR179-1,Naive_vs_CM,0.22849458808721945,,-0.2016061171275434,0.0,0.0,1.0,1.0,0.02688847095967606,,
GPR179-1,Naive_vs_EM,-0.011912712471262299,0.03880118343093836,,0.0,0.0,1.0,1.0,0.02688847095967606,,
GPR179-1,PD1Low_vs_PD1High,0.049793125419194006,,,0.0,0.0,1.0,1.0,,-0.020408924869379324,-0.07020205028857333
GPR37L1-1,EM_vs_CM,-0.3758009395276438,-0.22231040009356873,0.1534905394340751,0.0,0.0,1.0,1.0,,,
GPR37L1-1,Naive_vs_CM,-0.0821099946429511,,0.1534905394340751,0.0,0.0,1.0,1.0,0.07138054479112399,,
GPR37L1-1,Naive_vs_EM,0.2936909448846927,-0.22231040009356873,,0.0,0.0,1.0,1.0,0.07138054479112399,,
GPR37L1-1,PD1Low_vs_PD1High,-0.15443371114204824,,,0.0,0.0,1.0,1.0,,-0.076363294193814,0.07807041694823424
GPR84-1,EM_vs_CM,-0.4650550576605028,-0.20555256788530374,0.2595024897751991,0.0,0.0,1.0,1.0,,,
GPR84-1,Naive_vs_CM,-0.4008667162500892,,0.2595024897751991,0.0,0.0,1.0,1.0,-0.1413642264748901,,
GPR84-1,Naive_vs_EM,0.06418834141041363,-0.20555256788530374,,0.0,0.0,1.0,1.0,-0.1413642264748901,,
GPR84-1,PD1Low_vs_PD1High,0.0683705488364766,,,0.0,0.0,1.0,1.0,,0.005047172889906711,-0.0633233759465699
GRM2-1,EM_vs_CM,0.11708846253918237,-0.15065393883063805,-0.2677424013698204,0.0,0.0,1.0,1.0,,,
GRM2-1,Naive_vs_CM,0.4869979286891621,,-0.2677424013698204,0.0,0.0,1.0,1.0,0.21925552731934167,,
GRM2-1,Naive_vs_EM,0.3699094661499797,-0.15065393883063805,,0.0,0.0,1.0,1.0,0.21925552731934167,,
GRM2-1,PD1Low_vs_PD1High,-0.7756367359417649,,,0.0,0.0,1.0,1.0,,-0.4541986389312547,0.3214380970105101
GRM3-1,EM_vs_CM,-0.2293807646372089,-0.1589616038453382,0.07041916079187072,0.0,0.0,1.0,1.0,,,
GRM3-1,Naive_vs_CM,0.025728619884504034,,0.07041916079187072,0.0,0.0,1.0,1.0,0.09614778067637475,,
GRM3-1,Naive_vs_EM,0.25510938452171295,-0.1589616038453382,,0.0,0.0,1.0,1.0,0.09614778067637475,,
GRM3-1,PD1Low_vs_PD1High,-0.11154825400410293,,,0.0,0.0,1.0,1.0,,-0.05323901446108237,0.05830923954302055
GRM5-1,EM_vs_CM,0.5017645142324011,0.0734321946868709,-0.4283323195455302,0.0,0.0,1.0,1.0,,,
GRM5-1,Naive_vs_CM,0.633055005053086,,-0.4283323195455302,0.0,0.0,1.0,1.0,0.2047226855075558,,
GRM5-1,Naive_vs_EM,0.1312904908206849,0.0734321946868709,,0.0,0.0,1.0,1.0,0.2047226855075558,,
GRM5-1,PD1Low_vs_PD1High,-0.4142414984350259,,,0.0,0.0,1.0,1.0,,-0.2571798956678808,0.15706160276714512
GRM7-1,EM_vs_CM,0.43119607736764254,0.060685362298574685,-0.37051071506906785,0.0,0.0,1.0,1.0,,,
GRM7-1,Naive_vs_CM,0.5833778260867875,,-0.37051071506906785,0.0,0.0,1.0,1.0,0.2128671110177196,,
GRM7-1,Naive_vs_EM,0.15218174871914492,0.060685362298574685,,0.0,0.0,1.0,1.0,0.2128671110177196,,
GRM7-1,PD1Low_vs_PD1High,0.2721314119309893,,,0.0,0.0,1.0,1.0,,0.10374629204790346,-0.16838511988308583
GRM8-1,EM_vs_CM,0.221358132018303,-0.03763677245342867,-0.2589949044717317,0.0,0.0,1.0,1.0,,,
GRM8-1,Naive_vs_CM,0.5268239072343714,,-0.2589949044717317,0.0,0.0,1.0,1.0,0.26782900276263977,,
GRM8-1,Naive_vs_EM,0.30546577521606844,-0.03763677245342867,,0.0,0.0,1.0,1.0,0.26782900276263977,,
GRM8-1,PD1Low_vs_PD1High,0.019251937977139276,,,0.0,0.0,1.0,1.0,,2.5077601062776605e-05,-0.019226860376076498
HRH3-1,EM_vs_CM,0.1065592700266671,-0.0970025803772201,-0.2035618504038872,0.0,0.0,1.0,1.0,,,
HRH3-1,Naive_vs_CM,0.4262809687662412,,-0.2035618504038872,0.0,0.0,1.0,1.0,0.22271911836235403,,
HRH3-1,Naive_vs_EM,0.3197216987395741,-0.0970025803772201,,0.0,0.0,1.0,1.0,0.22271911836235403,,
HRH3-1,PD1Low_vs_PD1High,0.22053687056526722,,,0.0,0.0,1.0,1.0,,0.08431999780971584,-0.13621687275555136
MCHR2-1,EM_vs_CM,0.030023095191199167,0.03389059790071036,0.0038675027095111947,1.0447911377240431e-204,1.1753900299395484e-204,1.0,1.0,,,
MCHR2-1,Naive_vs_CM,-0.05208577907849421,,0.0038675027095111947,1.0447911377240431e-204,1.1753900299395484e-204,1.0,1.0,-0.048218276368983015,,
MCHR2-1,Naive_vs_EM,-0.08210887426969338,0.03389059790071036,,1.0447911377240431e-204,1.1753900299395484e-204,1.0,1.0,-0.048218276368983015,,
MCHR2-1,PD1Low_vs_PD1High,-0.13969574006849061,,,1.0447911377240431e-204,1.1753900299395484e-204,1.0,1.0,,-0.0733345952871658,0.06636114478132482
MCOLN2-2,EM_vs_CM,-0.2952337302773176,-0.07122734621716231,0.22400638406015527,0.0,0.0,1.0,1.0,,,
MCOLN2-2,Naive_vs_CM,-0.5674914437412253,,0.22400638406015527,0.0,0.0,1.0,1.0,-0.34348505968107,,
MCOLN2-2,Naive_vs_EM,-0.2722577134639077,-0.07122734621716231,,0.0,0.0,1.0,1.0,-0.34348505968107,,
MCOLN2-2,PD1Low_vs_PD1High,0.038549541304328125,,,0.0,0.0,1.0,1.0,,-0.044293903293861625,-0.08284344459818975
MRGPRX1-1,EM_vs_CM,-0.2242888899260993,0.011915117865857416,0.23620400779195672,8.929436758315748e-216,1.0369668493527966e-215,1.0,1.0,,,
MRGPRX1-1,Naive_vs_CM,-0.544180262578422,,0.23620400779195672,8.929436758315748e-216,1.0369668493527966e-215,1.0,1.0,-0.3079762547864653,,
MRGPRX1-1,Naive_vs_EM,-0.3198913726523227,0.011915117865857416,,8.929436758315748e-216,1.0369668493527966e-215,1.0,1.0,-0.3079762547864653,,
MRGPRX1-1,PD1Low_vs_PD1High,0.03291864674101275,,,8.929436758315748e-216,1.0369668493527966e-215,1.0,1.0,,-0.003493053005710678,-0.036411699746723425
MRGPRX2-1,EM_vs_CM,-0.23974395066353793,-0.1804172030527913,0.05932674761074663,0.0,0.0,1.0,1.0,,,
MRGPRX2-1,Naive_vs_CM,-0.04430638757122907,,0.05932674761074663,0.0,0.0,1.0,1.0,0.015020360039517566,,
MRGPRX2-1,Naive_vs_EM,0.19543756309230886,-0.1804172030527913,,0.0,0.0,1.0,1.0,0.015020360039517566,,
MRGPRX2-1,PD1Low_vs_PD1High,0.12318718178301132,,,0.0,0.0,1.0,1.0,,0.026236892423996627,-0.09695028935901469
NPBWR1-1,EM_vs_CM,-0.27859816071829746,-0.1630082098753467,0.11558995084295076,0.0,0.0,1.0,1.0,,,
NPBWR1-1,Naive_vs_CM,-0.08682197817783421,,0.11558995084295076,0.0,0.0,1.0,1.0,0.028767972665116548,,
NPBWR1-1,Naive_vs_EM,0.19177618254046325,-0.1630082098753467,,0.0,0.0,1.0,1.0,0.028767972665116548,,
NPBWR1-1,PD1Low_vs_PD1High,-0.13145482341808643,,,0.0,0.0,1.0,1.0,,-0.07194417383146967,0.05951064958661675
NPBWR2-1,EM_vs_CM,0.08225055717341634,0.10631318891831576,0.02406263174489942,0.0,0.0,1.0,1.0,,,
NPBWR2-1,Naive_vs_CM,-0.11920296165820454,,0.02406263174489942,0.0,0.0,1.0,1.0,-0.09514032991330512,,
NPBWR2-1,Naive_vs_EM,-0.20145351883162088,0.10631318891831576,,0.0,0.0,1.0,1.0,-0.09514032991330512,,
NPBWR2-1,PD1Low_vs_PD1High,-0.027195261359740153,,,0.0,0.0,1.0,1.0,,-0.0018524670965667234,0.02534279426317343
OR10AC1-1,EM_vs_CM,-0.1626495448438917,-0.125541170552933,0.0371083742909587,0.0,0.0,1.0,1.0,,,
OR10AC1-1,Naive_vs_CM,0.041965873087469796,,0.0371083742909587,0.0,0.0,1.0,1.0,0.0790742473784285,,
OR10AC1-1,Naive_vs_EM,0.2046154179313615,-0.125541170552933,,0.0,0.0,1.0,1.0,0.0790742473784285,,
OR10AC1-1,PD1Low_vs_PD1High,0.016779089639649507,,,0.0,0.0,1.0,1.0,,0.005270028525309482,-0.011509061114340025
OR10J4-1,EM_vs_CM,0.053535664732928145,0.07991557351211631,0.026379908779188166,0.0,0.0,1.0,1.0,,,
OR10J4-1,Naive_vs_CM,-0.16700613624933414,,0.026379908779188166,0.0,0.0,1.0,1.0,-0.14062622747014597,,
OR10J4-1,Naive_vs_EM,-0.22054180098226228,0.07991557351211631,,0.0,0.0,1.0,1.0,-0.14062622747014597,,
OR10J4-1,PD1Low_vs_PD1High,0.12482064651154548,,,0.0,0.0,1.0,1.0,,0.050966741529492245,-0.07385390498205324
OR11G2-1,EM_vs_CM,0.03470035646403302,-0.008069200804769583,-0.042769557268802605,3.450370149050481e-206,3.943280170343407e-206,1.0,1.0,,,
OR11G2-1,Naive_vs_CM,0.046267340190874084,,-0.042769557268802605,3.450370149050481e-206,3.943280170343407e-206,1.0,1.0,0.0034977829220714796,,
OR11G2-1,Naive_vs_EM,0.011566983726841062,-0.008069200804769583,,3.450370149050481e-206,3.943280170343407e-206,1.0,1.0,0.0034977829220714796,,
OR11G2-1,PD1Low_vs_PD1High,0.020173552338529726,,,3.450370149050481e-206,3.943280170343407e-206,1.0,1.0,,-0.005693548881235373,-0.0258671012197651
OR11H2-1,EM_vs_CM,-0.25852196964496166,-0.15373110338378315,0.1047908662611785,6.945968447603125e-162,7.464324301901865e-162,1.0,1.0,,,
OR11H2-1,Naive_vs_CM,-0.08661253045711181,,0.1047908662611785,6.945968447603125e-162,7.464324301901865e-162,1.0,1.0,0.018178335804066692,,
OR11H2-1,Naive_vs_EM,0.17190943918784984,-0.15373110338378315,,6.945968447603125e-162,7.464324301901865e-162,1.0,1.0,0.018178335804066692,,
OR11H2-1,PD1Low_vs_PD1High,0.08822267471173517,,,6.945968447603125e-162,7.464324301901865e-162,1.0,1.0,,0.03385737024968827,-0.054365304462046904
OR11H7-1,EM_vs_CM,-0.2914395784730658,-0.05397826135061112,0.23746131712245466,0.0,0.0,1.0,1.0,,,
OR11H7-1,Naive_vs_CM,-0.3920159847326712,,0.23746131712245466,0.0,0.0,1.0,1.0,-0.15455466761021652,,
OR11H7-1,Naive_vs_EM,-0.1005764062596054,-0.05397826135061112,,0.0,0.0,1.0,1.0,-0.15455466761021652,,
