ELM,phenotype,effect,se,pip,significant
14-3-3,Naive_High,-0.013346023667405317,0.0313806879031025,0.09466278944832834,False
14-3-3,CM_High,-0.053330383879825256,0.0321537194056048,0.09511929826654614,False
14-3-3,CM_Low,-0.04581399333337572,0.03354851815047309,0.09495193204107051,False
14-3-3,EM_High,0.012403614370205214,0.032676560531900135,0.09466824855986712,False
14-3-3,EM_Low,-0.0418213177814298,0.03005415296182736,0.09500013277250541,False
ANK,Naive_High,0.0012449661078572675,0.1612907002611737,0.09480632410373409,False
ANK,CM_High,0.002748121901665948,0.1697789584850137,0.09480700488082056,False
ANK,CM_Low,-0.005669190351125153,0.16831302786766472,0.09480690043797788,False
ANK,EM_High,0.0011573527424645325,0.1686195581953784,0.09480691672731455,False
ANK,EM_Low,-0.002192160808955826,0.15430800323478122,0.09480568013648155,False
APCC,Naive_High,0.011625228412122237,0.12715062693980766,0.0948021722373275,False
APCC,CM_High,-0.011421091985978078,0.12213429355573381,0.09480124469744643,False
APCC,CM_Low,-0.00048513475383572704,0.1287576105217788,0.09480235682497883,False
APCC,EM_High,-0.00582315257115175,0.12301992746629278,0.09480133962232247,False
APCC,EM_Low,0.0025127436727357534,0.11560307034647183,0.09479973275860136,False
Actin,Naive_High,0.012433877219947152,0.0848329788006967,0.09478864421994565,False
Actin,CM_High,0.01362209265456042,0.08581665550199798,0.09478929727255789,False
Actin,CM_Low,0.0027635120159882807,0.08867341138168575,0.09479025966671321,False
Actin,EM_High,-0.008686522746788097,0.08496902053139052,0.09478844617149439,False
Actin,EM_Low,-0.012106593772748152,0.07849172521751657,0.0947845701947689,False
Arc,Naive_High,-0.03157786871556072,0.05929169060681242,0.09477635722681564,False
Arc,CM_High,0.005190947018785339,0.06089822199965866,0.09476478376343157,False
Arc,CM_Low,0.008428091181580154,0.06343593186035185,0.09476905204210055,False
Arc,EM_High,-0.00402919622411857,0.06126615155738919,0.09476522234681517,False
Arc,EM_Low,-0.009195424184584888,0.056812890444915866,0.0947586246341648,False
BIR,Naive_High,-0.023690995344187116,0.042089451636187575,0.0947434192277233,False
BIR,CM_High,-0.005000250647392068,0.04290576089035507,0.09471626596843784,False
BIR,CM_Low,0.020962667154110947,0.04507610349707877,0.09474341304595729,False
BIR,EM_High,-0.0009017974951411737,0.0438604788791311,0.09471920093116308,False
BIR,EM_Low,-0.005326432746983227,0.040180154484794915,0.09470312708389997,False
BRCT,Naive_High,0.01997201286576379,0.054659825978338454,0.0947607388013778,False
BRCT,CM_High,-0.0013029804049024592,0.0558159276740446,0.09475516550073325,False
BRCT,CM_Low,-0.0019580597651586585,0.05768793073763218,0.09475890665247436,False
BRCT,EM_High,0.00914923247273523,0.056561710294954354,0.09475813664361796,False
BRCT,EM_Low,-0.00978183949161337,0.05175650930677489,0.094748076239342,False
CDC14,Naive_High,-0.0020521131658091415,0.18349601600944648,0.09480790928476283,False
CDC14,CM_High,0.0024839657772821734,0.1923325652912725,0.09480839293371184,False
CDC14,CM_Low,-0.0003815583057099236,0.1948454691039592,0.09480851776394995,False
CDC14,EM_High,-0.0010075903150239794,0.19097890829597775,0.09480832251569389,False
CDC14,EM_Low,-0.007579206697638751,0.176910343725978,0.09480751081924274,False
CKS1,Naive_High,-0.006334157894863213,0.09632318978150582,0.09479383753594176,False
CKS1,CM_High,0.009038865122866708,0.09800899328945868,0.09479457981479085,False
CKS1,CM_Low,-0.009823394465964063,0.10210584012777414,0.09479606412970469,False
CKS1,EM_High,-0.0032638576535112653,0.09837604521752183,0.09479458048336106,False
CKS1,EM_Low,0.00867986330009774,0.0912943650219811,0.09479173827410953,False
CSL,Naive_High,-0.005607696707828836,0.22362441704441585,0.09480967035142224,False
CSL,CM_High,-0.0018237987658890004,0.23242942031082922,0.09480993782553562,False
CSL,CM_Low,0.005343255726168916,0.26892657587309005,0.09481078793456167,False
CSL,EM_High,-0.00018489785848591688,0.23326069303202882,0.09480996150390383,False
CSL,EM_Low,-0.005908498051335287,0.2232526273795075,0.09480965853130294,False
CYCLIN,Naive_High,-0.046098779863694574,0.047154824903436414,0.09480961176906864,False
CYCLIN,CM_High,0.029301511460897968,0.04798133636299507,0.09476392453725054,False
CYCLIN,CM_Low,0.03141335796035854,0.050501632895598954,0.09476971872173805,False
CYCLIN,EM_High,0.009489507092782267,0.048945547603760596,0.0947405204374781,False
CYCLIN,EM_Low,-0.04890155029865144,0.04504072081463632,0.09482915355247674,False
Clathr,Naive_High,-0.001908695754551427,0.20859334511322752,0.09480912697020577,False
Clathr,CM_High,-4.0483176282752974e-05,0.20693049743656922,0.0948090593703426,False
Clathr,CM_Low,0.0004183739975074803,0.21900643758544636,0.09480951354191358,False
Clathr,EM_High,-0.001038424977672454,0.2115743810416761,0.09480924333663063,False
Clathr,EM_Low,0.0014350329662551609,0.20162594483172377,0.0948088338306443,False
DLG,Naive_High,0.0041915403395631715,0.1369917416482428,0.09480364088804988,False
DLG,CM_High,-0.012388299729809468,0.13253582180569326,0.09480306147540103,False
DLG,CM_Low,-9.14585396428837e-05,0.14228194023263224,0.0948043369323871,False
DLG,EM_High,-0.0013496495263242872,0.13827124459567885,0.09480381072266217,False
DLG,EM_Low,0.0035691406067014063,0.12878394321802697,0.09480236953773478,False
EVH1,Naive_High,-0.004669635149657128,0.22546522369410613,0.09480972857426413,False
EVH1,CM_High,-0.009807270476933791,0.21723977025308955,0.094809459614836,False
EVH1,CM_Low,0.0031508456517617893,0.2550499494649094,0.09481050708465591,False
EVH1,EM_High,0.003925438695761327,0.2443970284710832,0.094810259109253,False
EVH1,EM_Low,0.001894586843593208,0.21805068229859856,0.09480948059888582,False
FHA,Naive_High,0.0021269571574326082,0.033496597234287724,0.09465272568770984,False
FHA,CM_High,-0.023490295195836945,0.03418925597065148,0.09473142690806882,False
FHA,CM_Low,-0.021179743113244505,0.035646917220773594,0.09472106071038766,False
FHA,EM_High,0.0015680571983535223,0.03483875220223379,0.09466453135011901,False
FHA,EM_Low,-0.041341206231162816,0.03196258447437085,0.09493197348640547,False
GBD,Naive_High,-0.0016710044558807431,0.17111079618290267,0.09480710137035761,False
GBD,CM_High,-4.276636102054172e-06,0.17574664440998308,0.09480742320267518,False
GBD,CM_Low,0.004741870217728444,0.18938372336510018,0.0948082414381083,False
GBD,EM_High,0.00243002765795365,0.17667570857948503,0.09480748588436269,False
GBD,EM_Low,-0.006590869865373444,0.15887516608847005,0.09480612249262693,False
IRF7,Naive_High,0.01392638665702375,0.12403136376385547,0.0948016559375255,False
IRF7,CM_High,0.0001286480298771558,0.12206892092773604,0.09480112540957507,False
IRF7,CM_Low,-0.010528370952835257,0.12297302467108658,0.09480139151762705,False
IRF7,EM_High,0.003841676734789704,0.12425516496830591,0.09480156100264792,False
IRF7,EM_Low,-0.0076981873368461955,0.11314499298541444,0.09479919609438077,False
Integrin,Naive_High,0.0007233438229323945,0.18697252798467207,0.09480810710242733,False
Integrin,CM_High,-0.009753935582232014,0.18172377915969537,0.09480781887492291,False
Integrin,CM_Low,-0.004067844710814616,0.19083858593319494,0.09480831732537841,False
Integrin,EM_High,0.0017479503702440616,0.1944805398650534,0.09480850019049111,False
Integrin,EM_Low,0.0026188979712873164,0.18103633762607224,0.09480776243186428,False
LIR,Naive_High,-0.011610436176446786,0.03773702468168742,0.09469820804376111,False
LIR,CM_High,-0.011305420656626496,0.03866496160215949,0.09470254854088352,False
LIR,CM_Low,0.007084991970360365,0.04000252869688425,0.09470370623774725,False
LIR,EM_High,-0.0005542434860649352,0.03888604573076867,0.0946936115034111,False
LIR,EM_Low,-0.065488391173289,0.03605560660070321,0.09513325289544593,False
LYPXL,Naive_High,-0.00021435663817143298,0.3528236966839266,0.09481183772647568,False
LYPXL,CM_High,-0.004939640196379845,0.3175216590227644,0.09481149620274662,False
LYPXL,CM_Low,0.003291275494337026,0.4452912075495575,0.09481238001948143,False
LYPXL,EM_High,0.0003527942948602495,0.3607431288701227,0.09481190099135421,False
LYPXL,EM_Low,0.0024098299199757267,0.34271155185580887,0.09481175055970006,False
MAPK,Naive_High,-0.07830689400377554,0.03681957628345223,0.09528400628382905,False
MAPK,CM_High,-0.02492463948303849,0.037746832594578596,0.09474155213664405,False
MAPK,CM_Low,0.006091996325349547,0.03913332758772769,0.09469795140291545,False
MAPK,EM_High,-0.007385220301694647,0.03843153715128575,0.09469526127131751,False
MAPK,EM_Low,-0.004481004465647602,0.03517659266547702,0.0946694399300558,False
MSH2,Naive_High,-0.007716505468764021,0.10534851246103309,0.0947970447041786,False
MSH2,CM_High,-0.008774925565577331,0.1068540250855359,0.09479752115325688,False
MSH2,CM_Low,-0.00819486605801125,0.10942791778880591,0.09479823708269589,False
MSH2,EM_High,0.0039724854038407625,0.11048306544991413,0.09479845915984501,False
MSH2,EM_Low,-0.00568216876986107,0.10267227504678803,0.09479614717808976,False
MYND,Naive_High,0.022875587510846236,0.11941020075729558,0.09480104418577244,False
MYND,CM_High,0.0035773501717862046,0.1192668646983795,0.09480055845741521,False
MYND,CM_Low,-0.008866516967041969,0.1205161844220113,0.0948008774249439,False
MYND,EM_High,0.009314397592380938,0.12185119107364413,0.09480115322392603,False
MYND,EM_Low,-0.025722555776840694,0.106588293322445,0.0947982640600317,False
NRBOX,Naive_High,-0.007662503521465392,0.08071212348994079,0.09478571715018139,False
NRBOX,CM_High,-0.00046931867973710746,0.08230698198724687,0.09478653485618285,False
NRBOX,CM_Low,0.004915753322369195,0.08730732463586058,0.0947895857375221,False
NRBOX,EM_High,-0.011617413046259753,0.08352775067770134,0.09478781260470785,False
NRBOX,EM_Low,-0.011365100042531058,0.0774865775644238,0.09478375177435838,False
NRP,Naive_High,-0.010757607449962047,0.08630686481254694,0.0947893339596015,False
NRP,CM_High,-0.007395881793389112,0.08868106685076974,0.0947904015432927,False
NRP,CM_Low,-0.000286583008048235,0.09384418833178557,0.09479270754089016,False
NRP,EM_High,-0.007571195065964864,0.09093920202389336,0.09479152343391523,False
NRP,EM_Low,0.015447944267474277,0.08485555827970302,0.09478895078038817,False
PCNA,Naive_High,-0.010838099021099386,0.07115384064686024,0.09477832266067081,False
PCNA,CM_High,0.002934064825182751,0.07245832496203287,0.09477882585519565,False
PCNA,CM_Low,0.00441447868696619,0.07552770554370292,0.09478162549110625,False
PCNA,EM_High,-0.0037135028477212314,0.07351205117970355,0.09477983696953171,False
PCNA,EM_Low,-0.019825252982654584,0.06802182501709947,0.09477744726532007,False
PDZ,Naive_High,-0.008539346055394689,0.039763442649368874,0.09470407249098915,False
PDZ,CM_High,-0.033960914530616566,0.04056250436170329,0.09478028196732227,False
PDZ,CM_Low,-0.055811615259774315,0.04235002062270538,0.09488753150124764,False
PDZ,EM_High,0.020340189910313354,0.04122800916061031,0.09473266234190415,False
PDZ,EM_Low,0.020556195674118025,0.03769252957789383,0.09472371952173594,False
PP1,Naive_High,0.009387059870325292,0.059372403762516054,0.09476317122124879,False
PP1,CM_High,0.0008455068707847273,0.060681663851206734,0.0947640894252302,False
PP1,CM_Low,0.017770816076084557,0.06367930732030448,0.09477207917662654,False
PP1,EM_High,-0.002761203360152214,0.061316445218879446,0.09476519047069512,False
PP1,EM_Low,-0.035234649093896064,0.056080879385759695,0.09477840470471334,False
PP2A,Naive_High,-0.007547631686382099,0.09120186146802298,0.09479164680828449,False
PP2A,CM_High,0.0023888518192814426,0.09437568158780206,0.09479295153882675,False
PP2A,CM_Low,-0.017062263543053277,0.09548582822466725,0.09479404367016832,False
PP2A,EM_High,0.005725754246419746,0.0946877899829966,0.09479314635063106,False
PP2A,EM_Low,0.012356935190358277,0.08725975203935457,0.09478996173340422,False
PP2B,Naive_High,-0.015317232405882465,0.103271920948709,0.09479666751702755,False
PP2B,CM_High,-0.0032539336816265227,0.10480672574497289,0.09479680367917466,False
PP2B,CM_Low,0.02845197965031947,0.12008573990733735,0.09480142595337437,False
PP2B,EM_High,0.0014543207132789093,0.10674199437546618,0.09479738369540747,False
PP2B,EM_Low,0.0024553132711843777,0.09807348256252348,0.09479445594055788,False
PP4,Naive_High,-0.008201457008328366,0.07668456739497904,0.0947828204996434,False
PP4,CM_High,-0.003983783446477096,0.0789601270598222,0.09478429240021245,False
PP4,CM_Low,-0.0025456662136707415,0.08162412600941191,0.09478611101674467,False
PP4,EM_High,0.009855986496018055,0.07996720120106827,0.09478537625835502,False
PP4,EM_Low,-0.008334083212277802,0.07363044343741382,0.09478028727054807,False
PTB,Naive_High,-0.004488443611149111,0.08841346162524684,0.09479016129948252,False
PTB,CM_High,0.0019283634055185632,0.09063364179724843,0.0947912334983658,False
PTB,CM_Low,0.002687066859965016,0.09354752489436062,0.09479259369908694,False
PTB,EM_High,-0.002908051249121385,0.08957993726262463,0.09479072521781888,False
PTB,EM_Low,0.0016457306183189874,0.08314425825636988,0.09478708028098654,False
Pex14,Naive_High,0.02532349366871396,0.04603209468325671,0.09475365586165978,False
Pex14,CM_High,-0.024089011813116137,0.04698672443803126,0.09475279097438447,False
Pex14,CM_Low,-0.004014386405555505,0.049042304493654945,0.09473848341359965,False
Pex14,EM_High,-0.00017467903780135345,0.04720126057555751,0.09473199868981706,False
Pex14,EM_Low,-0.030730828390108603,0.044115512314740354,0.0947653381038667,False
REV1ctd,Naive_High,-0.015301334698757026,0.0987020035262572,0.09479513051502092,False
REV1ctd,CM_High,2.23667534778299e-05,0.10105852540670862,0.09479554096848117,False
REV1ctd,CM_Low,0.005713148906128322,0.10705641947597981,0.09479751910286038,False
REV1ctd,EM_High,0.010581766003922282,0.10570325712325002,0.09479722910921702,False
REV1ctd,EM_Low,-0.00797788393784065,0.09335487268466539,0.09479264291930485,False
SH2,Naive_High,-0.05975753712873434,0.03508507629488823,0.09509253484642187,False
SH2,CM_High,-0.027914352844848733,0.03608089363353551,0.09475733623433771,False
SH2,CM_Low,-0.0021717211228531115,0.0372067400865163,0.0946830056081565,False
SH2,EM_High,0.0008755173303843237,0.03647577670466745,0.09467735890581133,False
SH2,EM_Low,-0.02198981005101501,0.033551140572342326,0.09472146949789112,False
SH3,Naive_High,0.026792660635134462,0.04775865162824272,0.09475884517709053,False
SH3,CM_High,-0.005094247934274825,0.04788480768681575,0.0947351919443786,False
SH3,CM_Low,-0.02627598647384967,0.050279021182981234,0.09476118483648203,False
SH3,EM_High,0.000514811678710966,0.04873976849312111,0.09473705117325072,False
SH3,EM_Low,-0.01615017135935742,0.045215768453058316,0.09473599706970448,False
SUMO,Naive_High,0.017619782482176796,0.055405518035654466,0.09476023362739852,False
SUMO,CM_High,-0.002082263423970884,0.0559574435945892,0.09475550741503165,False
SUMO,CM_Low,-0.014109807047978177,0.05838933369228628,0.09476324428897497,False
SUMO,EM_High,-0.006139118092364547,0.056719979391614106,0.09475763061516487,False
SUMO,EM_Low,-0.016740903902226836,0.05287956067632929,0.09475498949260731,False
TRAF2like,Naive_High,0.012081673351371103,0.11475542237715966,0.09479967779871037,False
TRAF2like,CM_High,0.006351232334201982,0.11626110275100628,0.09479991949969253,False
TRAF2like,CM_Low,0.0008511052074156206,0.12125165700290971,0.09480096143700967,False
TRAF2like,EM_High,-0.014615603729693241,0.11243497786892337,0.0947991934461815,False
TRAF2like,EM_Low,-0.028429590678976786,0.10572669752014288,0.09479824627160245,False
TRAF4,Naive_High,0.01715687832150664,0.08478093049176995,0.09478910483622058,False
TRAF4,CM_High,0.0007681669598912729,0.08489079324243642,0.09478813961563673,False
TRAF4,CM_Low,-0.013092339515381017,0.08733334945301402,0.09479005853018843,False
TRAF4,EM_High,0.006274584976984753,0.08741217040422272,0.0947896895763034,False
TRAF4,EM_Low,-0.027190676904387943,0.07911303814330946,0.09478775047770911,False
TRAF6,Naive_High,-0.004179066110499864,0.12107025004472602,0.09480093858468543,False
TRAF6,CM_High,-0.007884243949624212,0.12035393913974857,0.0948008298964701,False
TRAF6,CM_Low,0.0037372371713609532,0.1317140408147015,0.09480285051320801,False
TRAF6,EM_High,0.002596781313931475,0.12518003172216746,0.09480172763182547,False
TRAF6,EM_Low,-0.0020450185552479136,0.11500663496641092,0.09479958961727808,False
TRFH,Naive_High,-0.0002673374566989646,0.2543708053349158,0.09481049175582627,False
TRFH,CM_High,-0.003527102347089858,0.2553956731508667,0.09481051473207212,False
TRFH,CM_Low,-0.002432944457031543,0.2662344804106112,0.09481073618963087,False
TRFH,EM_High,-0.004023579311491052,0.25194006968238913,0.09481043813812587,False
TRFH,EM_Low,0.005815186809433386,0.2605342679092809,0.09481062412536866,False
TYR,Naive_High,-0.0013630091459065103,0.0952353637991695,0.09479330832239825,False
TYR,CM_High,-0.0013678907684011087,0.09624138651906626,0.09479372378894468,False
TYR,CM_Low,0.011139262525723339,0.10122796254194164,0.09479581453380281,False
TYR,EM_High,-0.004126434067083074,0.09760705008030535,0.09479429759682599,False
TYR,EM_Low,0.0002528365561962097,0.08999670301679433,0.09479091028607765,False
UBA3,Naive_High,-0.012777010842601652,0.0499362791921339,0.09474539911805546,False
UBA3,CM_High,-0.005543484789575819,0.05095633362757037,0.0947443495861701,False
UBA3,CM_Low,0.010998821298392775,0.0534370457463337,0.09475253098380174,False
UBA3,EM_High,-0.008344712740005167,0.05205273343435086,0.09474814638947006,False
UBA3,EM_Low,-0.033683303425114865,0.04825626887608804,0.0947733659460805,False
USP7,Naive_High,-0.011769422894089736,0.031130055613999195,0.09465330343735968,False
USP7,CM_High,-0.020743718412448774,0.03198607871035705,0.0947106887150252,False
USP7,CM_Low,-0.02817472522457766,0.033329742498093215,0.09476657432539558,False
USP7,EM_High,-0.02109252693255115,0.03241720397167399,0.0947138733178918,False
USP7,EM_Low,-0.030866107100508532,0.02989865454417053,0.09482609844829566,False
WD40,Naive_High,-0.01667804291427824,0.03300532540780729,0.09468954551939948,False
WD40,CM_High,-0.03980171877026961,0.033786727691810445,0.09487439797942752,False
WD40,CM_Low,-0.04255211506534989,0.03551781481977523,0.09487545054592413,False
WD40,EM_High,-0.010268594205110993,0.03445145663420918,0.09467437677921184,False
WD40,EM_Low,-0.019546956344459125,0.03169487391585448,0.09470157024216122,False
WRC,Naive_High,0.007883178048936368,0.09130578415724236,0.09479170920453392,False
WRC,CM_High,-0.020360869527042844,0.08989892889995274,0.094792011729007,False
WRC,CM_Low,-0.010455682309425481,0.09401770909538835,0.09479303683775361,False
WRC,EM_High,0.009115337257177464,0.09379031077621441,0.09479287831475458,False
WRC,EM_Low,-0.006606953529902933,0.08508296554572758,0.09478840197478706,False
WW,Naive_High,-0.011903092262177586,0.0481192978056441,0.09473984687315479,False
WW,CM_High,-0.014698062705906104,0.04910383573899099,0.09474489081207339,False
WW,CM_Low,-0.02089034203222599,0.05187378533625314,0.09475687568682498,False
WW,EM_High,0.010515576007651578,0.049810312886765205,0.09474353151322744,False
WW,EM_Low,0.03962563390451449,0.046137666602993954,0.09479090290724579,False
deltaCOP1,Naive_High,-0.0023586278578958935,0.16884085520548503,0.09480693437512405,False
deltaCOP1,CM_High,0.0066357159665359116,0.18006179000931125,0.09480770881671151,False
deltaCOP1,CM_Low,0.0032234384161107144,0.1850706098075714,0.09480800146897338,False
deltaCOP1,EM_High,-0.0016512370889099136,0.1707399202971817,0.09480707442678596,False
deltaCOP1,EM_Low,-0.007059893666959166,0.1633657697920849,0.09480651232274222,False
eIF4E,Naive_High,0.0057061127670831255,0.15168681536001816,0.09480542429683823,False
eIF4E,CM_High,-0.004011233436557406,0.14903380494232496,0.09480513599586232,False
eIF4E,CM_Low,-0.0016793187237218493,0.15693085187518896,0.09480593186480737,False
eIF4E,EM_High,0.001901412483731053,0.15679299085472564,0.09480591915324056,False
eIF4E,EM_Low,-0.006777625901121427,0.14161740805776432,0.09480427338388775,False
