motif,phenotype_p,phenotype_q,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
PDZ,EM_High,CM_High,0.1830858678789865,0.03296119718073337,5.55458792576881,0.2641370736458658,2.7826741934593557e-08,1.3635103547950842e-06,5.865341559582791
REV1ctd,EM_High,CM_High,0.15728327298771116,0.040112723386843414,3.921032024449842,0.22691179795415595,8.817054309516563e-05,0.002160178305831558,2.6655103997552128
PCNA,EM_High,CM_High,-0.08442421111163434,0.024888739487714008,-3.3920645580829523,-0.12179839070171779,0.0006936809388014394,0.011330122000423508,1.9457654137177627
SUMO,EM_High,CM_High,-0.121741601903611,0.04249305515063098,-2.8649764407867777,-0.17563600533621798,0.0041704026794485306,0.0510874328232445,1.2916859203498565
SH3,EM_High,CM_High,0.12374876564834655,0.04590756715642962,2.69560713654622,0.17853173051700008,0.0070260479069132065,0.06885526948774942,1.162062817616497
PP1,EM_High,CM_High,-0.13924362311473454,0.05385126020605358,-2.5857077918314295,-0.20088608454303936,0.009717927738343285,0.0793630765298035,1.1003815049917405
TRAF2like,EM_High,CM_High,-0.147055006659632,0.06009668392993956,-2.446973727054026,-0.2121555288457446,0.014406133994835466,0.10084293796384826,0.9963545100513188
CYCLIN,EM_High,CM_High,0.12672084925092253,0.05303665002958658,2.389307190032385,0.18281954079154386,0.016880181578110807,0.1033911121659287,0.9855167929944441
APCC,EM_High,CM_High,-0.2060581960011531,0.09814617598494169,-2.0995030517823543,-0.29727913750538965,0.03577257908139418,0.17493257387038386,0.7571293138205274
PTB,EM_High,CM_High,-0.16998224549321658,0.08203622791417266,-2.072038778660742,-0.24523254261223393,0.038261824912774335,0.17493257387038386,0.7571293138205274
BIR,EM_High,CM_High,-0.07290098097488754,0.03580806664192647,-2.035881515298852,-0.10517388372841092,0.04176225439820137,0.17493257387038386,0.7571293138205274
deltaCOP1,EM_High,CM_High,-0.3977456517276819,0.1963923491502514,-2.0252604210329177,-0.5738256792826755,0.04284063033560421,0.17493257387038386,0.7571293138205274
IRF7,EM_High,CM_High,-0.17787112288920448,0.09088337195266295,-1.9571360422437838,-0.2566137869096067,0.05033147590997796,0.18734404152121684,0.7273601150901037
CSL,EM_High,CM_High,-0.21821854940598362,0.11302878478869267,-1.930645806853035,-0.3148228190579958,0.053526869006061954,0.18734404152121684,0.7273601150901037
Clathr,EM_High,CM_High,-0.3119759980003043,0.1767465286051364,-1.76510396250712,-0.45008622519142416,0.07754629484655241,0.25331789649873787,0.5963341269244588
Actin,EM_High,CM_High,-0.21893461542658565,0.12815085629472356,-1.7084132073458491,-0.31585588395486747,0.08755969832695584,0.26815157612630225,0.5716196460216508
EVH1,EM_High,CM_High,0.22469839020331328,0.13505874682887808,1.663708537796595,0.3241712532420533,0.09617068925920913,0.2771978690412498,0.5572101126864344
BRCT,EM_High,CM_High,0.14813957587955223,0.09230027870902698,1.6049743072451217,0.2137202314808243,0.10849945902547418,0.2953596384582353,0.5296488522620147
NRBOX,EM_High,CM_High,-0.18416998494468337,0.12284230560600937,-1.4992390775810533,-0.2657011239602898,0.1338116207324692,0.3450931271521574,0.4620636899974605
ELM_14_3_3,EM_High,CM_High,-0.036139943263438556,0.024585171894193947,-1.4699894480694435,-0.05213891692417131,0.14156461184949923,0.34683329903127313,0.459879213124048
ANK,EM_High,CM_High,-0.1875883234754412,0.1694822401755457,-1.1068317440290005,-0.27063274400669374,0.2683666808638895,0.571296953441807,0.24313809189768637
Arc,EM_High,CM_High,-0.05693748869336143,0.05294483274043092,-1.0754116265227436,-0.08214343257858396,0.28219047873800474,0.571296953441807,0.24313809189768637
PP4,EM_High,CM_High,0.03886026388449626,0.036816293574738666,1.055518090260994,0.05606350999379924,0.2911884403360204,0.571296953441807,0.24313809189768637
LYPXL,EM_High,CM_High,0.18205133782618077,0.17435632637836102,1.0441338241499836,0.2626445622690324,0.29642347866016694,0.571296953441807,0.24313809189768637
TRFH,EM_High,CM_High,0.19362567001269904,0.18792178577256125,1.030352437407343,0.27934279391612377,0.30284459178457157,0.571296953441807,0.24313809189768637
USP7,EM_High,CM_High,0.03518966934685508,0.03474046640090222,1.0129302508713929,0.05076796145723019,0.31109347781660823,0.571296953441807,0.24313809189768637
TRAF6,EM_High,CM_High,-0.05833562295733219,0.05814691527785642,-1.0032453601119513,-0.08416051394771151,0.3157424921065406,0.571296953441807,0.24313809189768637
FHA,EM_High,CM_High,-0.017266610100833524,0.017596033521980733,-0.9812785409430086,-0.02491045276543581,0.3264554019667468,0.571296953441807,0.24313809189768637
TRAF4,EM_High,CM_High,0.12166507903776275,0.1297124060557788,0.9379602363203752,0.1755256061771441,0.34826484531317925,0.5884474972533029,0.23029227992395365
CKS1,EM_High,CM_High,-0.16094587835941476,0.18544675706560243,-0.8678818702797786,-0.23219582056064603,0.38545900483230966,0.6295830412261058,0.20094697887185767
Integrin,EM_High,CM_High,-0.13178736529978075,0.15731139240778078,-0.8377483873396979,-0.19012897836981596,0.40217203142475044,0.6300309225630262,0.20063813440528114
PP2B,EM_High,CM_High,-0.1303761131663168,0.15873455102311304,-0.8213467850949034,-0.18809297191542357,0.41144876575544564,0.6300309225630262,0.20063813440528114
WD40,EM_High,CM_High,0.019780898263607627,0.02604251251670495,0.7595618222673095,0.028537803829235833,0.4475165469493093,0.6451916536064666,0.1903112594109449
TYR,EM_High,CM_High,0.05750164995514917,0.07573163248922583,0.7592817963263871,0.0829573452332268,0.4476840045432625,0.6451916536064666,0.1903112594109449
GBD,EM_High,CM_High,0.14510786025119193,0.2199960931207804,0.6595928963680553,0.20934639037840333,0.5095151140757213,0.7078467891412928,0.1500607335969637
DLG,EM_High,CM_High,0.09721602439710553,0.1511285149426128,0.64326725127962,0.14025307629264464,0.5200507022262559,0.7078467891412928,0.1500607335969637
WW,EM_High,CM_High,0.014721555905923445,0.024124431251662286,0.6102343202353863,0.021238715699645385,0.5417065980565068,0.7166260520434505,0.14470740765043777
MSH2,EM_High,CM_High,-0.060570482149879146,0.10280739054052852,-0.5891646683319053,-0.08738473422188413,0.5557508158704311,0.7166260520434505,0.14470740765043777
Pex14,EM_High,CM_High,-0.03879809209828844,0.07002083273449113,-0.5540935544912068,-0.05597381506615401,0.5795148210445156,0.7281083649020836,0.1378039795102095
MYND,EM_High,CM_High,-0.021653592704038715,0.04958052160081852,-0.43673587943216063,-0.031239530811546096,0.662302905446077,0.7797986573131973,0.10801751693204353
CDC14,EM_High,CM_High,-0.14261325319639304,0.3331376106883593,-0.4280911209686368,-0.20574743315147834,0.6685847809152496,0.7797986573131973,0.10801751693204353
PP2A,EM_High,CM_High,-0.02169292675704315,0.05116009161606314,-0.4240204829936632,-0.03129627785475366,0.6715508752448152,0.7797986573131973,0.10801751693204353
UBA3,EM_High,CM_High,0.017478232576215225,0.042987935192600926,0.40658460328244783,0.025215759461209637,0.6843131074381119,0.7797986573131973,0.10801751693204353
MAPK,EM_High,CM_High,0.014969847530987276,0.0402799567449279,0.37164507464056046,0.021596924795819237,0.7101571243308817,0.7908567975503001,0.10190214818878948
NRP,EM_High,CM_High,-0.030855947218665775,0.09311966008274407,-0.3313580310672082,-0.044515722034300716,0.7403740622180013,0.8061850899707125,0.09356523818907468
SH2,EM_High,CM_High,-0.010322696207278548,0.03630872851050617,-0.284303434208433,-0.014892502626844072,0.7761778545708667,0.8267981494341842,0.08260050409533189
WRC,EM_High,CM_High,-0.01033728329616812,0.058506836783991864,-0.17668504852404734,-0.014913547347646066,0.8597557856511349,0.8963411382320342,0.047526670856703
eIF4E,EM_High,CM_High,0.008334235116368799,0.12448033722091524,0.06695222155108749,0.012023759671987919,0.9466197394812731,0.9663409840537996,0.014869600952252485
LIR,EM_High,CM_High,0.0005336472149134464,0.018266710517431558,0.0292141934588714,0.0007698901905398359,0.9766937613224275,0.9766937613224274,0.010241586348896062
